dept,cp_name,lat,lon,hosp_10km,extreme
LIMA,11478,-13.173256806999973,-76.12406932599998,0,min
LIMA,78891,-10.492511718999936,-77.16132421899994,0,min
LIMA,78892,-10.463429686999973,-77.10136523399996,0,min
LIMA,118062,-12.051530214999957,-77.03187863799997,26,max
