dept,cp_name,lat,lon,hosp_10km,extreme
LORETO,121568,-8.072162108999976,-75.61701757899993,0,min
LORETO,121569,-8.004689452999969,-74.87171289099996,0,min
LORETO,121570,-8.00246993199994,-74.78465829599998,0,min
LORETO,123137,-3.749269530999925,-73.25946288999995,3,max
LORETO,123138,-3.718891090999932,-73.28376734299997,3,max
LORETO,123139,-3.7321699219999687,-73.29582031299998,3,max
