department,pop_center_id,hospital_count,centroid_lat,centroid_lon
LIMA,117903,0,-11.566483160999953,-76.81870387199996
LIMA,117904,0,-11.530032099999975,-76.84506209599994
LIMA,117905,2,-11.962686135999942,-76.87481291899996
LIMA,117906,5,-11.936801637999967,-76.98937579099999
LIMA,117907,0,-11.587113162999977,-76.47692553499996
LIMA,117908,0,-11.596191882999957,-76.47705297199997
LIMA,117909,0,-11.604607455999933,-76.47241095899994
LIMA,117910,0,-11.601602248999928,-76.46219993299997
LIMA,117911,0,-11.605498613999947,-76.46617818099998
LIMA,117912,0,-11.599162967999971,-76.39834249799998
LIMA,117913,0,-11.623249730999929,-76.47935742099997
LIMA,117914,0,-11.623601961999956,-76.46834453399998
LIMA,117915,0,-11.638164919999948,-76.47473892599999
LIMA,117916,0,-11.617034315999945,-76.42579553299998
LIMA,117917,0,-11.618013490999946,-76.41460318699997
LIMA,117918,0,-11.641255252999931,-76.39036971299998
LIMA,117919,0,-11.665491934999974,-76.49287888799996
LIMA,117920,0,-11.674040821999936,-76.41304690099997
LIMA,117921,0,-11.69377170499996,-76.41855518599994
LIMA,117922,0,-11.67354940399997,-76.43112324799995
LIMA,117923,0,-11.666751421999942,-76.43680685099997
LIMA,117924,0,-11.667687313999973,-76.44506920099997
LIMA,117925,0,-11.66657626399996,-76.45153103199993
LIMA,117926,0,-11.686072724999976,-76.48811601099999
LIMA,117927,0,-11.72200840999994,-76.43505836099996
LIMA,117928,0,-11.745298766999952,-76.39457667999994
LIMA,117929,0,-11.749839699999939,-76.43444535199995
LIMA,117930,1,-11.797562153999932,-76.38970690099997
LIMA,117931,0,-11.825604228999957,-76.48909555699998
LIMA,117932,1,-11.859145039999934,-76.47028320899994
LIMA,117933,1,-11.860640944999938,-76.46876080199996
LIMA,117934,1,-11.873089886999935,-76.45110169899993
LIMA,117935,1,-11.88613885799998,-76.46099778299998
LIMA,117936,1,-11.888744839999966,-76.45457508699997
LIMA,117937,1,-11.891301018999968,-76.45001706999994
LIMA,117938,1,-11.869220702999941,-76.43504101599996
LIMA,117939,1,-11.876400572999948,-76.42420603699998
LIMA,117940,1,-11.88445479699994,-76.43088287099994
LIMA,117941,1,-11.870045061999974,-76.42338415299997
LIMA,117942,1,-11.88887478799995,-76.43191932199994
LIMA,117943,1,-11.894038200999953,-76.43485320299999
LIMA,117944,1,-11.888804477999937,-76.44764102599999
LIMA,117945,0,-11.99620438999995,-76.40449439799994
LIMA,117946,0,-11.98802003099996,-76.40924184899995
LIMA,117947,0,-11.986640432999927,-76.41892505099999
LIMA,117948,0,-11.976319060999979,-76.41519054699995
LIMA,117949,0,-11.996643242999935,-76.38774519599997
LIMA,117950,0,-11.979235088999932,-76.49322026299996
LIMA,117951,0,-11.958305180999957,-76.48271729399995
LIMA,117952,0,-11.960166566999922,-76.47740435499998
LIMA,117953,0,-11.955842026999964,-76.47812550499998
LIMA,117954,0,-11.682815107999941,-76.37407876999998
LIMA,117955,0,-11.998834859999924,-76.33037347999993
LIMA,117956,0,-11.97122171099994,-76.34002804299996
LIMA,117957,0,-11.975782793999938,-76.32204996199994
LIMA,117958,0,-11.92272076099994,-76.32963234899995
LIMA,117959,1,-11.841219333999955,-76.41741925199995
LIMA,117960,1,-11.855145894999955,-76.41399972899995
LIMA,117961,1,-11.854959597999938,-76.38354808899999
LIMA,117962,1,-11.853333144999961,-76.37942732099998
LIMA,117963,1,-11.840497518999939,-76.37920587499997
LIMA,117964,1,-11.839821322999956,-76.36746031299998
LIMA,117965,1,-11.843135619999945,-76.36620625499995
LIMA,117966,1,-11.842956468999947,-76.36405644099995
LIMA,117967,1,-11.83017572499995,-76.38165060299997
LIMA,117968,1,-11.831866739999949,-76.36381483999997
LIMA,117969,1,-11.822624084999976,-76.37167188899997
LIMA,117970,1,-11.804259812999932,-76.35832360299999
LIMA,117971,1,-11.794689047999952,-76.36250526299995
LIMA,117972,1,-11.792628355999971,-76.36513783699996
LIMA,117973,1,-11.789683538999942,-76.36859070999998
LIMA,117974,0,-11.783486210999964,-76.28958285
LIMA,117975,0,-11.752971244999964,-76.28398731099998
LIMA,117976,0,-11.758685060999936,-76.25215939799995
LIMA,117977,0,-11.756611516999946,-76.24995844499995
LIMA,117978,0,-11.752782691999927,-76.23268298899995
LIMA,117979,0,-11.742542362999934,-76.24433451299996
LIMA,117980,0,-11.728891286999954,-76.22899905199995
LIMA,117981,0,-11.664101724999972,-76.27618668699995
LIMA,117982,0,-11.664616087999947,-76.21859954599995
LIMA,117983,0,-11.605715723999936,-76.23758690799997
LIMA,117984,1,-11.844549187999975,-76.36112337299994
LIMA,117985,1,-11.850062243999961,-76.36282649599997
LIMA,117986,1,-11.853051531999938,-76.36369181599997
LIMA,117987,1,-11.854624842999957,-76.35952254499995
LIMA,117988,1,-11.856040820999956,-76.36384914699994
LIMA,117989,1,-11.859674484999971,-76.36372017899998
LIMA,117990,1,-11.860524753999922,-76.35566793599997
LIMA,117991,1,-11.880878416999957,-76.35713608599997
LIMA,117992,0,-11.987089361999947,-76.22003354099996
LIMA,117993,0,-11.97308278399993,-76.21356079099996
LIMA,117994,0,-11.97593706399993,-76.19935170299993
LIMA,117995,0,-11.978805730999968,-76.15208861999997
LIMA,117996,0,-11.985461037999919,-76.14589350399996
LIMA,117997,0,-11.97242545699992,-76.11403693499994
LIMA,117998,0,-11.98172536499993,-76.11414652599996
LIMA,117999,0,-11.984572161999946,-76.11360517999998
LIMA,118000,0,-11.966145613999975,-76.11472273699997
LIMA,118001,0,-11.96056658899993,-76.11783637799994
LIMA,118002,0,-11.964193329999945,-76.21100908499994
LIMA,118003,0,-11.964592779999967,-76.20431346099997
LIMA,118004,0,-11.955211202999982,-76.20011517999995
LIMA,118005,0,-11.960035342999964,-76.18299663999994
LIMA,118006,0,-11.953595833999943,-76.195287169
LIMA,118007,0,-11.942532298999941,-76.204738175
LIMA,118008,0,-11.936641488999962,-76.19973662799998
LIMA,118009,0,-11.93846073899993,-76.19520685599997
LIMA,118010,0,-11.941982437999979,-76.17682328799998
LIMA,118011,0,-11.896131945999974,-76.21917960499997
LIMA,118012,0,-11.880432879999933,-76.22698401699995
LIMA,118013,0,-11.876278177999948,-76.23104767499996
LIMA,118014,0,-11.846542667999922,-76.20671892099995
LIMA,118015,0,-11.83500640499994,-76.23923957899997
