department,pop_center_id,hospital_count,centroid_lat,centroid_lon
LORETO,121566,0,-8.072162108999988,-75.61701757899993
LORETO,121567,0,-8.004689452999969,-74.87171289099996
LORETO,121568,0,-8.002469931999947,-74.78465829599998
LORETO,121569,0,-8.019244656999934,-75.60278363599998
LORETO,121570,0,-8.18888981599998,-75.65727632399995
LORETO,121571,0,-7.522695311999927,-75.03401953099996
LORETO,121572,0,-7.566094500999946,-75.02524901599998
LORETO,121573,0,-7.543548827999932,-74.81984374999996
LORETO,121574,0,-7.576726561999984,-74.91503124999997
LORETO,121575,0,-7.637820564999969,-74.97991065999997
LORETO,121576,0,-7.576488281999955,-74.98431445299997
LORETO,121577,0,-7.628328124999943,-74.93688476599993
LORETO,121578,0,-7.670757811999984,-74.93255859399994
LORETO,121579,0,-7.637027343999935,-75.01432421899995
LORETO,121580,0,-7.64107812499998,-75.07105273399998
LORETO,121581,0,-7.722427733999955,-75.18214843699997
LORETO,121582,0,-7.753686594999973,-75.18247797399994
LORETO,121583,0,-7.7315389279999565,-75.17649859799997
LORETO,121584,0,-7.716355467999958,-75.14390234399997
LORETO,121585,0,-7.794443814999969,-75.24622588699998
LORETO,121586,0,-7.791627406999963,-75.29183480399996
LORETO,121587,0,-7.791058957999944,-75.33342750699995
LORETO,121588,0,-7.77906390999993,-75.30668781799994
LORETO,121589,0,-7.822893625999934,-75.34289412599998
LORETO,121590,0,-7.793683137999956,-75.31750340799994
LORETO,121591,0,-7.838380858999926,-75.34849218699998
LORETO,121592,0,-7.847351561999977,-75.36944726499996
LORETO,121593,0,-7.896054686999943,-75.38491601599998
LORETO,121594,0,-7.958583984999954,-75.42923437499996
LORETO,121595,0,-7.922765624999958,-75.45169531199997
LORETO,121596,0,-7.9033398439999525,-75.45594531299997
LORETO,121597,0,-7.87191615199992,-75.49347951799996
LORETO,121598,0,-7.947041020999962,-74.84015625299998
LORETO,121599,0,-7.76358788999994,-74.92892578199996
LORETO,121600,0,-7.856878905999968,-74.99799609299998
LORETO,121601,0,-7.731767578999941,-75.00949999999995
LORETO,121602,0,-7.747240233999942,-74.98772265699995
LORETO,121603,0,-7.745454764999984,-75.00267018799997
LORETO,121604,0,-7.791447265999976,-74.90451953199994
LORETO,121605,0,-7.835508315999966,-74.99504412699997
LORETO,121606,0,-7.8754664999999555,-74.90974857199996
LORETO,121607,0,-7.883297555999946,-74.87343966999998
LORETO,121608,0,-7.84658199599995,-74.75792577599998
LORETO,121609,0,-7.855042942999937,-74.71162695499999
LORETO,121610,0,-7.862904295999951,-74.67937109399998
LORETO,121611,0,-7.829890635999965,-74.82293163199995
LORETO,121612,0,-7.855753905999959,-74.85505273399997
LORETO,121613,0,-7.920593777999946,-74.90903899299997
LORETO,121614,0,-7.917029296999942,-74.72881249999995
LORETO,121615,0,-7.89834179699995,-74.83088085999998
LORETO,121616,0,-7.876257811999943,-74.77618359399997
LORETO,121617,0,-7.912919779999974,-74.79339636399999
LORETO,121618,0,-7.538582525999961,-74.91597036799999
LORETO,121619,0,-7.7192595449999395,-74.83811948199997
LORETO,121620,0,-7.6768520459999605,-74.99292071199994
LORETO,121621,0,-7.695422649999955,-74.99499951099995
LORETO,121622,0,-7.8272638019999485,-74.83904833599998
LORETO,121623,0,-7.924783469999966,-74.89826606499997
